898 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
302 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
366 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
418 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
633 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
186 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
363 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
370 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
112 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
285 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
531 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
1075 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
1296 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
725 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
442 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
550 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
200 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
43 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
545 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
20 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
14 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.5, 0.5], solved = true
1111 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
406 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
926 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
99 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
210 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
263 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
1194 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
122 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
1307 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
483 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
59 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
2070 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
116 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
112 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
269 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
46 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
1838 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
605 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
8 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
353 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
2184 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
767 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
911 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
103 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
5564 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.5], solved = true
1380 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
138 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
167 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
1400 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
137 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
244 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
2668 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
1849 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
52 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
50 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
362 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
692 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
297 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
1550 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
257 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
110 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
2364 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
148 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
556 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
3896 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
350 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
1460 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
11 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
773 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
136 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.5], solved = true
1351 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
10370 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
18463 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
4074 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
7260 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
6155 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
12170 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
3748 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
1310 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
16130 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
3220 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
21840 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 15, mines = 60, startloc [0.0, 0.0], solved = true
