3272 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 30, solved = true
376 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 30, solved = true
203 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 30, solved = true
214 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 30, solved = true
4405 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 30, solved = true
177 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 30, solved = true
53 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 30, solved = true
126 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 30, solved = true
4557 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 30, solved = true
934 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 30, solved = true
2835 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 45, solved = true
261 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 45, solved = true
689 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 45, solved = true
727 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 45, solved = true
352 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 45, solved = true
1460 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 45, solved = true
4882 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 45, solved = true
4603 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 45, solved = true
40 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 45, solved = true
2991 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 45, solved = true
1165 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 60, solved = true
268 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 60, solved = true
612 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 60, solved = true
313 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 60, solved = true
259 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 60, solved = true
25 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 60, solved = true
4733 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 60, solved = true
1170 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 60, solved = true
1307 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 60, solved = true
207 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 60, solved = true
1417 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 75, solved = true
7838 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 75, solved = true
5869 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 75, solved = true
128 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 75, solved = true
57 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 75, solved = true
1351 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 75, solved = true
4266 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 75, solved = true
5452 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 75, solved = true
545 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 75, solved = true
1155 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 75, solved = true
5318 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 90, solved = true
2523 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 90, solved = true
16198 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 90, solved = true
4285 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 90, solved = true
7756 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 90, solved = true
3072 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 90, solved = true
7165 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 90, solved = true
10651 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 90, solved = true
5648 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 90, solved = true
215 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 90, solved = true
7344 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 35, mines = 105, solved = true
1769 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 35, mines = 105, solved = true
7462 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 35, mines = 105, solved = true
2629 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 35, mines = 105, solved = true
31541 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 35, mines = 105, solved = true
6316 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 35, mines = 105, solved = true
9969 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 35, mines = 105, solved = true
21462 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 35, mines = 105, solved = true
7192 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 35, mines = 105, solved = true
8765 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 35, mines = 105, solved = true
5933 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 40, mines = 120, solved = true
16166 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 40, mines = 120, solved = true
9747 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 40, mines = 120, solved = true
12884 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 40, mines = 120, solved = true
1057 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 40, mines = 120, solved = true
16606 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 40, mines = 120, solved = true
60832 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 40, mines = 120, solved = true
8480 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 40, mines = 120, solved = true
2088 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 40, mines = 120, solved = true
20200 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 40, mines = 120, solved = true
7552 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 45, mines = 135, solved = true
6153 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 45, mines = 135, solved = true
46496 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 45, mines = 135, solved = true
20443 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 45, mines = 135, solved = true
22347 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 45, mines = 135, solved = true
56119 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 45, mines = 135, solved = true
19153 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 45, mines = 135, solved = true
33968 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 45, mines = 135, solved = true
25284 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 45, mines = 135, solved = true
55027 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 45, mines = 135, solved = true
44909 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 50, mines = 150, solved = true
54485 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 50, mines = 150, solved = true
13989 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 50, mines = 150, solved = true
19607 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 50, mines = 150, solved = true
21188 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 50, mines = 150, solved = true
65917 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 50, mines = 150, solved = false
16884 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 50, mines = 150, solved = true
88679 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 50, mines = 150, solved = true
66535 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 50, mines = 150, solved = true
16519 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 50, mines = 150, solved = true
35634 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 55, mines = 165, solved = true
40560 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 55, mines = 165, solved = true
56639 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 55, mines = 165, solved = false
44587 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 55, mines = 165, solved = true
141259 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 55, mines = 165, solved = true
77632 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 55, mines = 165, solved = true
31882 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 55, mines = 165, solved = false
61203 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 55, mines = 165, solved = false
24763 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 55, mines = 165, solved = true
42993 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 55, mines = 165, solved = true
11963 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 60, mines = 180, solved = true
55422 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 60, mines = 180, solved = false
89051 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 60, mines = 180, solved = false
59940 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 60, mines = 180, solved = false
14342 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 60, mines = 180, solved = true
71743 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 60, mines = 180, solved = false
61475 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 60, mines = 180, solved = false
43715 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 60, mines = 180, solved = false
7297 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 60, mines = 180, solved = true
75546 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 60, mines = 180, solved = true
28026 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 65, mines = 195, solved = true
50259 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 65, mines = 195, solved = false
42295 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 65, mines = 195, solved = false
49480 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 65, mines = 195, solved = false
57691 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 65, mines = 195, solved = false
36079 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 65, mines = 195, solved = false
64499 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 65, mines = 195, solved = false
44604 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 65, mines = 195, solved = false
26555 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 65, mines = 195, solved = false
40427 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 65, mines = 195, solved = true
48725 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 70, mines = 210, solved = false
35187 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 70, mines = 210, solved = false
34767 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 70, mines = 210, solved = false
43321 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 70, mines = 210, solved = false
43714 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 70, mines = 210, solved = false
38711 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 70, mines = 210, solved = false
27412 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 70, mines = 210, solved = true
42274 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 70, mines = 210, solved = false
20492 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 70, mines = 210, solved = true
28504 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 70, mines = 210, solved = false
31491 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 75, mines = 225, solved = false
38982 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 75, mines = 225, solved = false
48387 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 75, mines = 225, solved = false
38167 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 75, mines = 225, solved = false
39844 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 75, mines = 225, solved = false
46036 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 75, mines = 225, solved = false
38862 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 75, mines = 225, solved = false
5189 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 75, mines = 225, solved = true
30591 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 75, mines = 225, solved = false
42640 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 75, mines = 225, solved = false
47339 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 80, mines = 240, solved = false
40476 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 80, mines = 240, solved = true
38160 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 80, mines = 240, solved = false
27091 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 80, mines = 240, solved = true
37886 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 80, mines = 240, solved = false
32599 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 80, mines = 240, solved = false
