1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
57 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
0 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 15, mines = 11, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
88 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 20, mines = 20, solved = true
