173 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 100, mines = 1000, solved = true
113 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 100, mines = 1000, solved = true
79 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 100, mines = 1000, solved = true
1267 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 100, mines = 1000, solved = true
37 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 100, mines = 1000, solved = true
35 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 100, mines = 1000, solved = true
48 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 100, mines = 1000, solved = true
40 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 100, mines = 1000, solved = true
43 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 100, mines = 1000, solved = true
60 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 100, mines = 1000, solved = true
99 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 200, mines = 2000, solved = true
1810 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 200, mines = 2000, solved = true
86 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 200, mines = 2000, solved = true
85 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 200, mines = 2000, solved = true
117 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 200, mines = 2000, solved = true
1780 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 200, mines = 2000, solved = true
1974 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 200, mines = 2000, solved = true
82 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 200, mines = 2000, solved = true
91 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 200, mines = 2000, solved = true
134 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 100, y = 200, mines = 2000, solved = true
