2 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 60, mines = 60, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 60, mines = 60, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 60, mines = 60, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 60, mines = 60, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 70, mines = 70, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 70, mines = 70, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 70, mines = 70, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 70, mines = 70, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 70, mines = 70, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 80, mines = 80, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 80, mines = 80, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 80, mines = 80, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 80, mines = 80, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 80, mines = 80, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 90, mines = 90, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 90, mines = 90, solved = true
1701390 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 90, mines = 90, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 90, mines = 90, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 90, mines = 90, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 100, mines = 100, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 100, mines = 100, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 100, mines = 100, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 100, mines = 100, solved = true
6 ms, AutomatonSolveMineMoveGenerator,  x = 20, y = 100, mines = 100, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 30, mines = 45, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 30, mines = 45, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 30, mines = 45, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 30, mines = 45, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 30, mines = 45, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 40, mines = 60, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 40, mines = 60, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 40, mines = 60, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 40, mines = 60, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 40, mines = 60, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 50, mines = 75, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 50, mines = 75, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 50, mines = 75, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 50, mines = 75, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 50, mines = 75, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 60, mines = 90, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 60, mines = 90, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 60, mines = 90, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 60, mines = 90, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 60, mines = 90, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 70, mines = 105, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 70, mines = 105, solved = true
6 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 70, mines = 105, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 70, mines = 105, solved = true
507 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 70, mines = 105, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 80, mines = 120, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 80, mines = 120, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 80, mines = 120, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 80, mines = 120, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 80, mines = 120, solved = true
8 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 90, mines = 135, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 90, mines = 135, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 90, mines = 135, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 90, mines = 135, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 90, mines = 135, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 100, mines = 150, solved = true
13 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 100, mines = 150, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 100, mines = 150, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 100, mines = 150, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 30, y = 100, mines = 150, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 40, mines = 80, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 40, mines = 80, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 40, mines = 80, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 40, mines = 80, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 40, mines = 80, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 50, mines = 100, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 50, mines = 100, solved = true
8 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 50, mines = 100, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 50, mines = 100, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 50, mines = 100, solved = true
7 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 60, mines = 120, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 60, mines = 120, solved = true
8 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 60, mines = 120, solved = true
6 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 60, mines = 120, solved = true
6 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 60, mines = 120, solved = true
8 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 70, mines = 140, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 70, mines = 140, solved = true
7 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 70, mines = 140, solved = true
6 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 70, mines = 140, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 70, mines = 140, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 80, mines = 160, solved = true
12 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 80, mines = 160, solved = true
5645263 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 80, mines = 160, solved = true
3 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 80, mines = 160, solved = true
9 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 80, mines = 160, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 90, mines = 180, solved = true
7 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 90, mines = 180, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 90, mines = 180, solved = true
12 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 90, mines = 180, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 90, mines = 180, solved = true
7 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 100, mines = 200, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 100, mines = 200, solved = true
18 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 100, mines = 200, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 100, mines = 200, solved = true
13 ms, AutomatonSolveMineMoveGenerator,  x = 40, y = 100, mines = 200, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 50, mines = 125, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 50, mines = 125, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 50, y = 50, mines = 125, solved = true
